Job Category:,Number of Positions:,Job Location:,url_link,Work Type:,Job Reference Number:,Contact:,Total Remuneration Package:,Contact Email:,Closing Date:,Organisation/Entity:,job_title
Education And/Or Training,1,Regional NSW / Dubbo & West NSW,https://iworkfor.nsw.gov.au/job/curriculum-designer-aviation-automotive-and-maritime-dubbo-110895,Full-Time,000066NI,aimee.nicholls@hudson.com - Aimee Nicholls,"$132,891. Package includes salary ($116,988 - $119,884), employer's contribution to superannuation and annual leave loading.",,29/05/2018 - 11:59 PM,TAFE Commission,"Curriculum Designer (Aviation, Automotive and Maritime - Dubbo)"
Population Health | Population Health Planning,1,Sydney Region,https://iworkfor.nsw.gov.au/job/medical-advisor-aboriginal-programs-110894,Full-Time,REQ42470,,"$152,309.00 - $180,876.00",,29/05/2018 - 11:59 PM,Health System Support Group,"Medical Advisor, Aboriginal Programs"
"Mental Health, Drug & Alcohol",1,Regional NSW / Riverina & Murray,https://iworkfor.nsw.gov.au/job/coordinator-family-friendly-mental-health-site-negotiable-110890,Part-Time,REQ40941,,"$108,255.00 - $123,411.00",,05/06/2018 - 11:59 PM,Murrumbidgee Local Health District,"Coordinator, Family Friendly Mental Health - Site Negotiable"
Education And/Or Training,2,Regional NSW / Dubbo & West NSW,https://iworkfor.nsw.gov.au/job/curriculum-designer-floristry-retail-services-dubbo-110887,Full-Time,000066R6,02 8233 2276 - Stephanie Rutherford,"$132,891. Package includes salary ($116,988 - $119,884), employer's contribution to superannuation and annual leave loading.",,29/05/2018 - 11:59 PM,TAFE Commission,Curriculum Designer  (Floristry & Retail Services) - Dubbo
Information and Communications Technology | Systems and Business Analysis,2,Sydney Region / Sydney - Inner West,https://iworkfor.nsw.gov.au/job/business-analyst-106518,Full-Time,0000633X,0409 305 342 - Nikki Guerin,"$111,030. Package includes salary ($93,012 - $100,163), employers contribution to superannuation and annual leave loading.",,06/06/2018 - 11:59 PM,TAFE NSW,BUSINESS ANALYST
Education And/Or Training,1,Central & North Coasts - Newcastle & Hunter Valley / Port Macquarie & Mid-North Coast,https://iworkfor.nsw.gov.au/job/product-manager-beauty-education-and-training-group-coffs-harbour-110885,Full-Time,000066R1,andrea.poletti@tafensw.edu.au - Andrea Poletti,"$144,531. Package includes salary ($130,385), employer's contribution to superannuation and annual leave loading.",,29/05/2018 - 11:59 PM,TAFE Commission,Product Manager - Beauty (Education and Training Group  Coffs Harbour)
Projects | Project Management,1,Sydney Region / Sydney - Greater West,https://iworkfor.nsw.gov.au/job/senior-program-analyst-110874,Full-Time,000065YH,0437 826 135 - Swathy Mohan,"RMS USS Grade 11 ($132,140 - $140,996), plus employer's contribution to superannuation and annual leave loading.",,28/05/2018 - 11:59 PM,Sydney,Senior Program Analyst
Research and Analysis | Reporting,1,Sydney Region / Sydney - Greater West,https://iworkfor.nsw.gov.au/job/reporting-manager-110868,Full-Time,000065YK,0437 826 135 - Swathy Mohan,"RMS USS Grade 11 ($132,140 - $140,996), plus employer's contribution to superannuation and annual leave loading.",,28/05/2018 - 11:59 PM,Sydney,Reporting Manager
,3,Regional NSW / Tamworth & North West NSW,https://iworkfor.nsw.gov.au/job/career-medical-officer-110872,Full-Time,REQ42270,,"$121,393.00 - $146,668.00",,29/05/2018 - 11:59 PM,Hunter New England Local Health District,Career Medical Officer
Policy | Advisory,1,Sydney Region / Sydney City,https://iworkfor.nsw.gov.au/job/senior-policy-advisor-clerk-grade-9-10-legal-services-council-110865,Full-Time,000066L1,"Bridget.Sordo@legalservicescouncil.org.au - Bridget Sordo, Senior Executive Officer","Maximum Total Remuneration Package: $128,749. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,27/05/2018 - 11:59 PM,Justice Services,"Senior Policy Advisor, Clerk Grade 9/10, Legal Services Council"
Nursing and Midwifery | Nursing Unit Manager,1,Sydney Region / Sydney - West,https://iworkfor.nsw.gov.au/job/nurse-unit-manager-operating-suite-109402,Full-Time,REQ37599,,"$112,710.93 - $112,710.93",,30/05/2018 - 11:59 PM,Nepean Blue Mountains Local Health District,Nurse Unit Manager - Operating Suite
Projects | Project Officer,1,Sydney Region / Sydney - West,https://iworkfor.nsw.gov.au/job/redevelopment-project-officer-110858,Full-Time,REQ40862,,"$93,099.00 - $110,422.00",,29/05/2018 - 11:59 PM,Nepean Blue Mountains Local Health District,Redevelopment Project Officer
Human Resources and Recruitment | Industrial Relations,1,Sydney Region / Sydney City,https://iworkfor.nsw.gov.au/job/advisor-industrial-relations-110847,Full-Time,000065LY,02 9228 4951 - Ward Young,"Base salary ($92,470 - 102,359), plus employer's contribution to superannuation.",,29/05/2018 - 11:59 PM,NSW Treasury,Advisor - Industrial Relations
Accounting and Financial,1,Sydney Region / Sydney - West,https://iworkfor.nsw.gov.au/job/business-manager-hm-level-2-liverpool-hospital-perm-f-t-or-p-t-110850,Various,REQ32187,,"$93,099.00 - $110,422.00",,28/05/2018 - 11:59 PM,South Western Sydney Local Health District,Business Manager (HM Level 2) - Liverpool Hospital -  Perm F/T or P/T
Planning,1,Sydney Region / Sydney - Greater West,https://iworkfor.nsw.gov.au/job/team-leader-110667,Part-Time,000065JU,(02) 9585 6595 or Andrew.Growcock@environment.nsw. - Andrew Growcock,"Up to $128,760 p.a Package includes salary ($105,409 p.a. - $116,157 p.a.), employer's contribution to superannuation and annual leave loading.",,28/05/2018 - 11:59 PM,Parks Programs,Team Leader
Information and Communications Technology,1,Sydney Region / Sydney - North/North West,https://iworkfor.nsw.gov.au/job/ict-strategy-lead-105826,Full-Time,000062GH,jesse.hsu@tafensw.edu.au - Jesse Hsu,"$184,636 Package includes salary, employer's contribution to superannuation and annual leave loading",,29/05/2018 - 11:59 PM,TAFE NSW,ICT Strategy Lead
Projects | Project Officer,1,Sydney Region,https://iworkfor.nsw.gov.au/job/project-officer-surgery-and-anaesthesia-110854,Full-Time,REQ41280,,"$108,255.00 - $123,411.00",,29/05/2018 - 11:59 PM,Agency for Clinical Innovation,"Project Officer, Surgery and Anaesthesia"
Nursing and Midwifery | Nurse Manager,2,Sydney Region,https://iworkfor.nsw.gov.au/job/nurse-manager-leadership-program-nm2-pft-110844,Full-Time,REQ42732,,"$111,667.36 - $113,884.95",,29/05/2018 - 11:59 PM,Justice Health & Forensic Mental Health Network,Nurse Manager Leadership Program (NM2) - PFT
Administration and Clerical,1,Sydney Region,https://iworkfor.nsw.gov.au/job/manager-aboriginal-health-hm2-pft-110845,Full-Time,REQ42335,,"$93,099.00 - $110,422.00",,29/05/2018 - 11:59 PM,Justice Health & Forensic Mental Health Network,Manager Aboriginal Health (HM2) - PFT
Nursing and Midwifery | Clinical Nurse Consultant,3,Sydney Region,https://iworkfor.nsw.gov.au/job/mental-health-clinical-nurse-consultant-grade-2-110840,Various,REQ42063,,"$111,667.36 - $113,884.95",,29/05/2018 - 11:59 PM,Sydney Children's Hospital Network,Mental Health Clinical Nurse Consultant Grade 2
Nursing and Midwifery | Nurse Manager,1,Sydney Region,https://iworkfor.nsw.gov.au/job/staff-wellbeing-and-development-nurse-manager-nm2-pft-110838,Full-Time,REQ42635,,"$111,667.36 - $113,884.95",,29/05/2018 - 11:59 PM,Justice Health & Forensic Mental Health Network,Staff Wellbeing and Development Nurse Manager (NM2) - PFT
Nursing and Midwifery | Clinical Nurse Consultant,2,Sydney Region / Sydney - West,https://iworkfor.nsw.gov.au/job/mental-health-clinical-nurse-consultant-grade-2-110839,Various,REQ42055,,"$111,667.36 - $113,884.95",,29/05/2018 - 11:59 PM,Sydney Children's Hospital Network,Mental Health Clinical Nurse Consultant  Grade 2
Accounting and Financial | Financial Control/Management|| Human Resources and Recruitment | HR Management|| Human Resources and Recruitment | Workforce Planning,,Regional NSW / Bathurst & Central West NSW,https://iworkfor.nsw.gov.au/job/senior-manager-personnel-services-110888,Full-Time,497315,,Clerk Grade 11/12,,29/05/2018 - 11:55 PM,Department of Industry - Corporate Service Partners,Senior Manager Personnel Services
Senior Executive,1,Sydney Region / Sydney - Inner West,https://iworkfor.nsw.gov.au/job/general-manager-people-safety-110806,Full-Time,0000668G,1300138863 - Dr Marianne Broadbent or Kym Fletcher,Package includes salary equivilent to PSSE - Band 2 and employers contribution to superannuation.,,29/05/2018 - 11:59 PM,TAFE NSW,General Manager People & Safety
Information and Communications Technology | Analysts,2,Sydney Region / Sydney - West,https://iworkfor.nsw.gov.au/job/ehr-senior-analyst-training-support-110833,Full-Time,REQ42736,,"$96,419.00 - $112,335.00",,05/06/2018 - 11:59 PM,Western Sydney Local Health District,EHR Senior Analyst  Training & Support
Customer Services and Call Centre | Call Centre Services,1,Central & North Coasts - Newcastle & Hunter Valley,https://iworkfor.nsw.gov.au/job/icare-contact-centre-manager-newcastle-contact-centre-full-time-ongoing-110827,Full-Time,00006345,christine.kosorukow@service.nsw.gov.au - Christine Kosorukow,"Package includes a base salary of $106,419pa - $128,178 pa plus employer's contribution to superannuation and annual leave loading.",,29/05/2018 - 11:59 PM,Service NSW,iCare Contact Centre Manager - Newcastle Contact Centre - Full Time - Ongoing
Nursing and Midwifery | Nursing Unit Manager,1,Sydney Region / Sydney - West,https://iworkfor.nsw.gov.au/job/nurse-unit-manager-level-2-drug-alcohol-services-110825,Part-Time,REQ41271,,"$112,710.93 - $112,710.93",,29/05/2018 - 11:59 PM,Nepean Blue Mountains Local Health District,Nurse Unit Manager - Level 2 - Drug & Alcohol Services
Health - Allied | Pharmacy,1,Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast,https://iworkfor.nsw.gov.au/job/casual-pharmacist-grade-1-or-2-tweed-110824,Casual,REQ39677,,"$95,335.47 - $101,262.95",,29/05/2018 - 11:59 PM,Northern NSW Local Health District,Casual Pharmacist Grade 1 or 2 - Tweed
Nursing and Midwifery | Clinical Nurse Consultant,1,"Central & North Coasts - Newcastle & Hunter Valley / Newcastle, Hunter & Region|| Regional NSW / Tamworth & North West NSW",https://iworkfor.nsw.gov.au/job/clinical-nurse-consultant-110823,Full-Time,REQ38506,,"$118,257.51 - $120,454.23",,29/05/2018 - 11:59 PM,Hunter New England Local Health District,Clinical Nurse Consultant
Health - Allied | Pharmacy,1,Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast,https://iworkfor.nsw.gov.au/job/pharmacist-grade-2-tweed-110822,Full-Time,REQ38555,,"$95,335.47 - $101,262.95",,29/05/2018 - 11:59 PM,Northern NSW Local Health District,"Pharmacist, Grade 2 - Tweed"
"Media, Publicity and Communications | Communications",1,Sydney Region / Sydney - North/North West,https://iworkfor.nsw.gov.au/job/media-coordinator-110821,Full-Time,000066KA,0412 771 878 - Lucy Beytagh,"RMS USS Grade 8 ($94,808 - $101,738), plus employer's contribution to superannuation and annual leave loading.",,29/05/2018 - 11:59 PM,Office of the Chief Executive,Media Coordinator
Health - Allied | Physiotherapist,1,Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast,https://iworkfor.nsw.gov.au/job/fracture-liaison-co-ordinator-tweed-110820,Full-Time,REQ39733,,"$103,441.00 - $106,026.00",,29/05/2018 - 11:59 PM,Northern NSW Local Health District,Fracture Liaison Co-ordinator - Tweed
Health - Allied | Pharmacy,1,Regional NSW / Tamworth & North West NSW,https://iworkfor.nsw.gov.au/job/regional-pharmacist-110815,Full-Time,REQ40857,,"$112,356.11 - $115,481.61",,12/06/2018 - 11:59 PM,Hunter New England Local Health District,Regional Pharmacist
Human Resources and Recruitment | Training and Development,1,Sydney Region,https://iworkfor.nsw.gov.au/job/manager-talent-development-110818,Full-Time,REQ42437,,"$108,255.00 - $123,411.00",,28/05/2018 - 11:59 PM,Northern Sydney Local Health District,Manager Talent Development
Nursing and Midwifery | Clinical Midwife Consultant,1,Sydney Region,https://iworkfor.nsw.gov.au/job/clinical-midwifery-consultant-110816,Full-Time,REQ42298,,"$111,667.36 - $113,884.95",,28/05/2018 - 11:59 PM,Northern Sydney Local Health District,Clinical Midwifery Consultant
Information and Communications Technology | Network and Server Management,1,Sydney Region,https://iworkfor.nsw.gov.au/job/information-communications-and-technology-ict-implementation-project-manager-110814,Full-Time,REQ38122,,"$121,246.00 - $145,063.00",,28/05/2018 - 11:59 PM,Northern Sydney Local Health District,"Information, Communications and Technology (ICT) Implementation Project Manager"
"Mental Health, Drug & Alcohol",1,Sydney Region,https://iworkfor.nsw.gov.au/job/community-services-manager-level-3-110810,Full-Time,REQ33494,,"$108,255.00 - $123,411.00",,28/05/2018 - 11:59 PM,Northern Sydney Local Health District,Community Services Manager Level 3
Health - Allied | Clinical Psychologist,1,Sydney Region / Sydney - West,https://iworkfor.nsw.gov.au/job/clinical-forensic-psychologist-110808,Part-Time,REQ41636,,"$92,565.00 - $113,518.00",,29/05/2018 - 11:59 PM,Western Sydney Local Health District,Clinical/ Forensic Psychologist
Projects,2,Sydney Region / Sydney - Greater West,https://iworkfor.nsw.gov.au/job/senior-project-officer-clerk-grade-9-10-177682-177683-110805,Full-Time,000065AF,(02) 9561 8590 - John Healey,"$128,760. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,05/06/2018 - 11:59 PM,Department of Education,Senior Project Officer - Clerk Grade 9/10 -177682 - 177683
Accounting and Financial | Financial Control/Management,1,Sydney Region / Sydney - Greater West,https://iworkfor.nsw.gov.au/job/risk-lead-110804,Full-Time,000065YN,0437 826 135 - Swathy Mohan,"RMS USS Grade 11 ($132,140 - $140,996), plus employer's contribution to superannuation and annual leave loading.",,28/05/2018 - 11:59 PM,Sydney,Risk Lead
Investigation | Analyst,3,Sydney Region,https://iworkfor.nsw.gov.au/job/analyst-110875,Full-Time,000065I0,02 8879 9059 - Xinling Chang,"($92,470 - 102,359), employer's contribution to superannuation and annual leave loading.",,03/06/2018 - 11:59 PM,Department of Family & Community Services,Analyst
Health - Medical Positions,,"Central & North Coasts - Newcastle & Hunter Valley / Gosford, Central Coast and Region",https://iworkfor.nsw.gov.au/job/temporary-staff-specialist-in-endocrinology-and-diabetes-110883,Part-Time,17613,02 4320 3266 - Dr Margaret Layton,"$137,300.40 - $270,517.80",Margaret.Layton@health.nsw.gov.au,29/05/2018 - 11:59 PM,Central Coast Local Health District,Temporary Staff Specialist in Endocrinology and Diabetes
Health - Medical Positions,,"Central & North Coasts - Newcastle & Hunter Valley / Gosford, Central Coast and Region",https://iworkfor.nsw.gov.au/job/staff-specialist-in-vascular-surgery-12-months-110938,Part-Time,17469,02 4320 5339 - Dr William Meldrum-Hanna,"$183,067.00 - $360,690.00",CCLHD-MWEUSMW@health.nsw.gov.au,29/05/2018 - 11:59 PM,Central Coast Local Health District,Staff Specialist in Vascular Surgery (12 months)
Health - Medical Positions,,Illawarra & South Coast / Wollongong & The South Coast,https://iworkfor.nsw.gov.au/job/staff-specialist-neurologist-110939,Part-Time,430419,44239274 - Dr Bill Pratt,"$114,417.00 - $154,582.00",,27/05/2018 - 11:59 PM,Illawarra Shoalhaven Local Health District,Staff Specialist Neurologist
Health - Allied | Pharmacy|| Health - Allied | Pharmacist,,Sydney Region / Sydney - Greater West,https://iworkfor.nsw.gov.au/job/registered-pharmacist-grade-1-2-110963,Full-Time,422420,47343410 - Ruby Samson,"$67,383.41 - $101,262.95",,29/05/2018 - 11:59 PM,Nepean Blue Mountains Local Health District,Registered Pharmacist Grade 1/2
Health - Allied | Physiotherapist,1,Sydney Region,https://iworkfor.nsw.gov.au/job/clinical-research-physiotherapist-neuromuscular-110799,Part-Time,REQ38884,,"$119,769.00 - $122,813.00",,28/05/2018 - 11:59 PM,Sydney Children's Hospital Network,"Clinical Research Physiotherapist, Neuromuscular"
Marketing & Communications | Communications Marketing and Media,1,Sydney Region / Sydney - West,https://iworkfor.nsw.gov.au/job/public-relations-manager-110791,Full-Time,REQ41725,,"$121,246.00 - $145,063.00",,28/05/2018 - 11:59 PM,Sydney Children's Hospital Network,Public Relations Manager
Projects | Project Manager,1,Sydney Region / Sydney - West,https://iworkfor.nsw.gov.au/job/paediatric-outpatient-project-officer-110792,Full-Time,REQ36403,,"$93,099.00 - $110,422.00",,28/05/2018 - 11:59 PM,Sydney Children's Hospital Network,Paediatric Outpatient Project Officer
Health - Allied | Medical Imaging,1,Sydney Region,https://iworkfor.nsw.gov.au/job/medical-radiation-scientist-110786,Part-Time,REQ26501,,"$115,481.61 - $115,481.61",,28/05/2018 - 11:59 PM,South Eastern Sydney Local Health District,Medical Radiation Scientist
Senior Executive | Director,1,Sydney Region,https://iworkfor.nsw.gov.au/job/director-performance-analytics-and-business-intelligence-110787,Full-Time,REQ42297,,"$156,827.00 - $171,577.00",,28/05/2018 - 11:59 PM,Northern Sydney Local Health District,Director Performance Analytics and Business Intelligence
Procurement | Management & Business Support,1,Sydney Region / Sydney - Greater West,https://iworkfor.nsw.gov.au/job/principal-procurement-officer-compliance-110785,Full-Time,000066MK,(02) 9354 1925 - Alfred Sim,"Package includes salary ($121,917 - $140,996), employer's contribution to superannuation and annual leave loading.",,28/05/2018 - 11:59 PM,Land and Housing Corporation,Principal Procurement Officer - Compliance
Information and Communications Technology | Development and Programming,1,Sydney Region / Sydney City,https://iworkfor.nsw.gov.au/job/dx-lab-technical-lead-110784,Full-Time,000066M0,"02 9273 1574 - Kate Curr, Manager, Digital Strategy and Innovation","Up to $128,760. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,29/05/2018 - 11:59 PM,Library Council of NSW,DX Lab Technical Lead
Administration and Clerical,1,Sydney Region / Sydney City,https://iworkfor.nsw.gov.au/job/leader-examination-support-110781,Full-Time,000065IU,02 9367 8183 - Lauren Graham,"$113,465. Package includes salary ($92,470 - $102,359), employer's contribution to superannuation and annual leave loading.",,28/05/2018 - 11:59 PM,NSW Education Standards Authority,"Leader, Examination Support"
Policy,1,Sydney Region / Sydney City,https://iworkfor.nsw.gov.au/job/senior-project-officer-110777,Full-Time,000066MO,02 8265 5774 - Hansleen Nandra,"$128,760. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,27/05/2018 - 11:59 PM,State Insurance Regulatory Authority ( SIRA),Senior Project Officer
Research and Analysis | Research,1,Sydney Region / Sydney - North/North West,https://iworkfor.nsw.gov.au/job/business-coordination-assurance-manager-110776,Full-Time,0000647K,0434735560 - Soumaya Benyassine,"RMS USS Grade 10 ($117,291 - $128,178), plus employer's contribution to superannuation and annual leave loading.",,28/05/2018 - 11:59 PM,Technical & Project Services,"Business Coordination, Assurance Manager"
"Media, Publicity and Communications | Media Monitoring",1,Sydney Region / Sydney - Inner West,https://iworkfor.nsw.gov.au/job/media-officer-110775,Full-Time,000064HC,02 8202 2882 - Scott MacKillop,"Transport Service Grade 7 ($96,542 - $108,127), plus employer's contribution to superannuation and annual leave loading.",,27/05/2018 - 11:59 PM,Customer Services Division,Media Officer
"Mental Health, Drug & Alcohol",1,Regional NSW / Dubbo & West NSW,https://iworkfor.nsw.gov.au/job/drug-alcohol-clinician-96638,Full-Time,REQ11633,,"$43,897.83 - $113,518.00",,26/06/2018 - 11:59 PM,Western NSW Local Health District,Drug & Alcohol Clinician
"Mental Health, Drug & Alcohol",1,Regional NSW / Dubbo & West NSW,https://iworkfor.nsw.gov.au/job/drug-alcohol-clinician-96637,Full-Time,REQ7349,,"$43,897.83 - $113,518.00",,26/06/2018 - 11:59 PM,Western NSW Local Health District,Drug & Alcohol Clinician
Health - Allied | Occupational Therapy,1,Regional NSW / Bathurst & Central West NSW,https://iworkfor.nsw.gov.au/job/senior-occupational-therapist-rehabilitation-services-97152,Part-Time,REQ14226,,"$103,441.00 - $106,026.00",,19/06/2018 - 11:59 PM,Western NSW Local Health District,Senior Occupational Therapist - Rehabilitation Services
Senior Executive,1,Sydney Region / Sydney - West,https://iworkfor.nsw.gov.au/job/innovation-and-redesign-manager-110279,Full-Time,REQ41647,,"$121,246.00 - $145,063.00",,21/05/2018 - 11:59 PM,Western Sydney Local Health District,Innovation and Redesign Manager
Investigation | Analyst,1,Sydney Region / Sydney City,https://iworkfor.nsw.gov.au/job/data-scientist-justice-strategy-policy-110756,Full-Time,000066BR,ian.haines@justice.nsw.gov.au - Ian Haines,"$156,280. Package includes salary ($121,917- $140,996), employer's contribution to superannuation and annual leave loading.",,20/05/2018 - 11:59 PM,Justice Strategy and Policy,"Data Scientist, Justice Strategy & Policy"
Population Health | Epidemiologist,38,Sydney Region,https://iworkfor.nsw.gov.au/job/epidemiolgist-communicable-disease-branch-110752,Full-Time,REQ40681,,"$108,255.00 - $123,411.00",,27/05/2018 - 11:59 PM,Health System Support Group,"Epidemiolgist, Communicable Disease Branch"
Environmental,1,Sydney Region / Sydney City,https://iworkfor.nsw.gov.au/job/planning-approvals-manager-110445,Full-Time,0000663E,0427 472567 - Niland Ciara,"Transport Service Grade 9 ($126,194 - $141,336 ), plus employer's contribution to superannuation and annual leave loading.",,27/05/2018 - 11:59 PM,Sydney Metro Delivery Office,Planning Approvals Manager
Policy,1,Regional NSW / Bathurst & Central West NSW,https://iworkfor.nsw.gov.au/job/senior-policy-officer-110748,Full-Time,000066MI,9995 0362 - Shane Matheson,"$128,760. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,25/05/2018 - 11:59 PM,Greyhound Welfare and Integrity Commission,Senior Policy Officer
Engineering,1,Sydney Region / Sydney - North/North West,https://iworkfor.nsw.gov.au/job/depot-engineering-manager-110740,Full-Time,0000652D,02 8575 0084 - Jagadeesh Sethuraman,"RC Grade 7 ($135,315 - $148,879), plus employer's contribution to superannuation and annual leave loading.",,28/05/2018 - 11:59 PM,Maintenance,Depot Engineering Manager
Projects | Project Management,1,"Central & North Coasts - Newcastle & Hunter Valley / Newcastle, Hunter & Region",https://iworkfor.nsw.gov.au/job/project-contract-manager-110738,Full-Time,000063F0,0411112683 - Tony Gant,"RMS Engineer Level 4 ($133,923 - $142,895), plus employer's contribution to superannuation and annual leave loading.",,28/05/2018 - 11:59 PM,Technical & Project Services,Project/Contract Manager
Investigation | Analyst,1,Sydney Region / Sydney - Greater West,https://iworkfor.nsw.gov.au/job/traffic-modeller-and-analyst-110725,Full-Time,000065U8,0475 432 086 - Majed Marzouk,"RMS USS Grade 9 ($106,419 - $114,402), plus employer's contribution to superannuation and annual leave loading.",,28/05/2018 - 11:59 PM,Technical & Project Services,Traffic Modeller and Analyst
Nursing and Midwifery | Nurse Manager,1,Regional NSW / Riverina & Murray,https://iworkfor.nsw.gov.au/job/nurse-manager-grade-3-cootamundra-110730,Full-Time,REQ42464,,"$118,257.51 - $120,454.23",,04/06/2018 - 11:59 PM,Murrumbidgee Local Health District,Nurse Manager Grade 3 - Cootamundra
Accounting and Financial,1,Illawarra & South Coast / Wollongong & The South Coast,https://iworkfor.nsw.gov.au/job/financial-accounting-manager-110734,Full-Time,REQ41888,,"$121,246.00 - $145,063.00",,27/05/2018 - 11:59 PM,Illawarra Shoalhaven Local Health District,Financial Accounting Manager
"Mental Health, Drug & Alcohol",1,Illawarra & South Coast / Wollongong & The South Coast,https://iworkfor.nsw.gov.au/job/child-youth-adolescent-mental-health-service-clinical-liaison-110733,Part-Time,REQ40495,,"$64,618.00 - $113,518.00",,27/05/2018 - 11:59 PM,Illawarra Shoalhaven Local Health District,Child & Youth Adolescent Mental Health Service Clinical Liaison
"Mental Health, Drug & Alcohol",1,Illawarra & South Coast / Wollongong & The South Coast,https://iworkfor.nsw.gov.au/job/child-and-youth-mental-health-services-clinical-liaison-110736,Full-Time,REQ40513,,"$64,618.00 - $113,518.00",,27/05/2018 - 11:59 PM,Illawarra Shoalhaven Local Health District,Child and Youth Mental Health Services Clinical Liaison
